"uuid","sfgk","khsj","ddgk","zxcb","clsl","dw","lksl","yf","xcsl","tjsj"
1214,海安新港,"2024-03-19 00:05:00",海口,双泰18,58,1439,181,60211,16,"20240313"
1215,海安新港,"2024-03-19 01:00:00",海口,紫荆十一号,60,1259,291,57430,16,"20240313"
1216,海安新港,"2024-03-19 02:00:00",海口,海口六号,49,1594,124,64010,9,"20240313"
1217,海安新港,"2024-03-19 04:00:00",海口,双泰19,55,1534,112,61928,14,"20240313"
1218,海安新港,"2024-03-19 05:00:00",海口,南方6号,47,1378,77,53996,8,"20240313"
1219,海安新港,"2024-03-19 06:00:00",海口,永继,50,1425,177,60086,13,"20240313"
1220,海安新港,"2024-03-19 06:40:00",海口,宝岛16,43,1407,58,54694,0,"20240313"
1221,海安新港,"2024-03-19 08:00:00",海口,海装8号,47,1298,103,52615,14,"20240313"
1222,海安新港,"2024-03-19 08:10:00",海口,信海16,41,1442,55,55941,7,"20240313"
1223,海安新港,"2024-03-19 09:10:00",海口,宝岛12,45,1292,147,53856,13,"20240313"
1224,海安新港,"2024-03-19 10:00:00",海口,海口六号,58,1545,187,65383,22,"20240313"
1225,海安新港,"2024-03-19 11:00:00",海口,双泰19,95,950,0,35530,95,"20240313"
1226,海安新港,"2024-03-19 12:00:00",海口,紫荆十一号,70,1435,288,65008,35,"20240313"
1227,海安新港,"2024-03-19 13:00:00",海口,海装6号,81,1260,182,54346,58,"20240313"
1228,海安新港,"2024-03-19 14:00:00",海口,永继,70,1102,199,48989,48,"20240313"
1229,海安新港,"2024-03-19 16:00:00",海口,海装2号,55,881,194,40377,32,"20240313"
1230,海安新港,"2024-03-19 18:00:00",海口,紫荆九号,68,1367,241,60173,40,"20240313"
1231,海安新港,"2024-03-19 19:00:00",海口,海装8号,68,1223,167,51457,40,"20240313"
1232,海安新港,"2024-03-19 19:50:00",海口,海口六号,67,1542,136,61812,27,"20240313"
1233,海安新港,"2024-03-19 22:00:00",海口,双泰19,57,1457,155,59857,20,"20240313"
1234,海安新港,"2024-03-19 22:50:00",海口,紫荆十一号,58,1597,129,64129,17,"20240313"
1235,海安新港,"2024-03-19 23:55:00",海口,海装6号,50,1202,167,51020,13,"20240313"
